,at,v,ap,rh,pe
70,25.82,66.49,1013.2,60.32,434.35
71,34.2,68.14,1002.7,56.09,427.05
72,19.13,68.61,1010.65,94.92,448.69
73,11.77,41.06,1021.45,76.63,475.88
74,10.25,41.46,1018.67,84.41,479.28
75,23.82,48.92,1010.48,44.45,446.85
76,30.1,66.25,1009.38,65.41,434.99
77,29.92,69.75,1009.12,67.15,441.5
78,29.63,66.75,1018.08,58.46,433.26
79,30.61,77.17,1009.49,73.19,430.46
80,16.18,50.88,1014.06,100.09,455.14
81,31.66,73.91,1004.49,68.13,431.26
82,29.14,61.5,1009.64,39.95,437.76
83,18.4,43.96,1012.4,77.81,464.63
84,15.86,38.62,1016.65,67.51,462.58
85,6.31,42.07,1004.61,77.74,483.27
86,23.4,72.99,1009.48,88.82,438.51
87,33.62,77.17,1009.38,63.71,431.03
88,6.89,43.65,1019.87,72.77,484.0
89,27.41,69.98,1008.51,65.49,431.64
90,26.37,54.5,1014.48,66.31,451.78
91,26.58,59.39,1014.49,65.87,439.46
92,15.25,43.02,1012.04,41.43,467.23
93,21.24,41.67,1012.6,49.27,459.81
94,24.98,58.05,1011.69,69.97,447150.0
95,26.63,64.44,1012.66,61.19,442.0
96,18.87,52.08,1005.25,99.19,449.61
97,5.12,40.78,1025.45,96.88,481.28
98,31.1,71.32,1008.09,45.87,437.54
99,7.91,39.96,1023.57,88.44,475.52
100,12.55,38.91,1012.58,75.44,474.35
101,9.38,41.44,1015.09,86.8,481.96
102,10.28,41.46,1018.44,85.23,479.66
103,30.31,77.24,1008.02,67.84,435.28
104,25.34,71.06,1007.74,92.52,434.86
105,30.47,70.02,1009.65,62.03,435.72
106,20.18,56.53,1020.3,77.1,454.14
107,21.31,46.97,1014.08,62.57,455.76
108,22.1,74.87,1009.4,85.78,442.83
109,20.09,63.94,1020.82,74.16,449.47
110,22.36,58.79,1016.69,73.6,445.76
111,9.43,37.14,1013.03,74.99,473.57
112,28.86,49.3,1003.93,52.85,435.75
113,23.25,70.32,1009.28,86.52,437.96
114,22.7,60.84,1019.15,71.48,438.59
115,21.3,59.39,1013.83,84.53,444.21
116,19.94,44.9,1008.52,74.69,459.47
117,14.97,43.67,1011.13,87.33,465.54
118,13.83,40.78,1024.85,73.08,458.85
119,23.39,71.25,1005.22,93.7,435.68
120,21.48,47.43,1006.88,63.54,449.2
121,22.63,58.41,1013.69,90.32,445.43
122,20.01,45.09,1014.21,38.19,453.96
123,20.52,43.79,1015.9,68.1,463.93
124,13.58,49.83,1008.9,86.8,465.82
125,14.38,44.84,1024.59,81.68,471.6
126,28.53,69.84,1004.46,68.03,427.72
127,13.89,35.71,1016.4,65.49,468.54
128,25.93,69.34,1008.91,79.43,434.08
129,17.84,61.27,1020.1,70.68,454.57
130,6.28,41.06,1020.96,90.91,489.79
131,8.16,39.64,1011.21,85.56,481.78
132,18.61,67.71,1004.07,84.49,443.57
133,16.23,43.72,1009.96,83.01,457.9
134,8.66,41.01,1022.51,98.55,472.16
135,19.53,66.54,1013.72,81.46,451.19
136,10.17,40.46,1018.54,68.21,470.33
137,6.48,40.27,1010.55,82.12,486.68
138,12.69,40.75,1016.05,82.92,472.68
139,23.77,61.87,1009.8,54.83,445.72
140,14.43,43.5,1021.86,83.14,466.58
141,28.25,57.19,1007.99,67.9,436.99
142,12.26,39.96,1011.79,79.06,470.87
143,14.55,42.74,1027.29,66.64,457.77
144,24.57,51.95,1005.8,70.07,448.15
145,10.25,41.26,1007.44,98.08,476.03
146,21.96,51.43,1007.28,89.96,442.87
147,9.82,39.64,1010.79,69.22,477.93
148,18.58,44.6,1016.61,48.15,459.06
149,20.57,44.9,1008.39,62.69,456.18
150,8.61,41.04,1024.81,95.6,473.62
151,9.99,43.52,1022.95,99.67,473.64
152,13.97,52.05,1012.05,85.36,463.64
153,16.76,43.67,1011.27,70.55,462.44
154,25.58,47.01,1014.5,63.53,454.39
155,17.34,46.48,1007.18,83.15,452.06
156,19.13,66.86,1012.95,71.24,453.31
157,12.75,40.64,1020.44,83.17,466.93
158,29.46,49.3,1003.88,54.1,436.37
159,15.59,52.75,1024.3,59.93,458.87
160,14.2,43.02,1012.18,57.07,470.67
161,14.05,40.35,1011.52,66.21,475.54
162,32.35,77.95,1014.76,60.88,432.72
163,21.41,56.9,1007.03,79.41,441.41
164,10.61,37.5,1008.8,100.13,472.9
165,19.13,40.79,1004.47,91.7,457.83
166,17.28,44.06,1018.15,66.93,462.05
167,24.79,50.78,1008.78,61.88,445.3
168,28.66,50.05,1006.08,47.74,435.94
169,12.91,41.16,1011.9,89.19,472.71
170,17.32,43.7,1015.13,61.66,464.5
171,18.74,59.21,1018.3,91.55,449.77
172,26.69,70.36,1006.82,68.29,435.04
173,12.28,40.55,1005.72,98.56,472.47
174,14.46,44.78,1007.64,67.03,459.31
175,30.54,70.17,999.42,64.32,434.62
176,27.58,66.48,1004.82,51.23,435.34
177,32.17,73.21,1001.43,69.86,430.64
178,26.23,59.87,1012.93,66.62,447.16
179,11.69,35.76,1019.02,55.6,471.72
180,14.73,39.82,1012.67,80.82,470.41
181,12.36,48.04,1012.8,93.59,468.37
182,9.52,40.96,1023.48,86.49,483.59
183,27.32,73.42,1012.07,86.3,432.74
184,23.81,73.17,1012.13,86.13,438.11
185,7.92,42.28,1008.55,81.68,484.75
186,23.58,58.82,1009.68,81.38,445.01
187,20.78,60.84,1018.66,80.4,445.82
188,19.68,68.28,1002.62,71.57,452.47
189,14.12,40.92,1022.46,73.28,459.76
190,22.97,62.4,1010.25,75.18,445.3
191,6.89,39.37,1020.21,74.17,486.9
192,19.98,56.53,1020.22,73.53,454.89
193,21.71,60.27,1015.74,89.76,441.19
194,23.02,59.21,1011.74,83.18,440.5
195,27.71,69.51,1009.65,58.38,435.04
196,10.46,37.5,1013.12,76.74,472.16
197,31.37,76.86,997.34,62.94,431.03
198,14.17,41.67,1013.4,72.77,471.42
199,15.6,43.71,1024.88,80.37,463.34
200,25.3,71.58,1010.18,87.36,433.97
201,7.09,39.37,1020.07,73.26,487.0
202,6.07,41.14,1027.57,86.98,480.19
203,9.86,38.38,1018.22,85.35,479.56
204,14.73,40.35,1011.15,65.2,470.03
205,31.32,74.33,1012.92,36.48,429.57
206,6.14,38.5,1012.4,75.35,489.26
207,27.92,69.23,1013.21,44.43,435.62
208,25.63,58.86,1014.86,52.75,443.84
209,16.37,36.99,1006.37,90.11,463.76
210,28.31,65.71,1014.67,59.29,447.26
211,24.44,69.84,1005.34,80.37,430.3
212,11.33,41.5,1013.58,88.7,475.01
213,23.87,63.94,1019.02,44.28,445.11
214,21.14,48.78,1020.39,86.2,450.35
215,22.24,60.07,1015.93,62.25,446.14
216,23.07,70.47,1008.64,83.37,439.04
217,25.95,59.14,1016.42,67.03,438.46
218,16.44,43.96,1013.66,76.31,468.57
219,20.66,41.54,1014.68,79.7,461.55
220,15.01,39.52,1017.53,72.0,468.02
221,20.51,63.86,1020.65,75.36,447.18
222,24.1,52.84,1006.47,47.58,444.69
223,9.38,40.46,1019.29,75.77,474.1
224,27.49,71.94,1008.25,68.29,428.27
225,32.84,68.14,1003.59,43.88,425.18
226,20.83,44.78,1008.51,35.9,460.6
227,28.69,67.25,1017.71,44.6,436.21
228,9.35,44.03,1011.02,88.11,476.25
229,17.37,41.23,998.79,68.44,461.08
230,14.84,41.48,1017.26,63.42,460.3
231,27.88,68.94,1007.68,75.68,435.04
232,17.83,43.72,1008.64,78.72,453.86
233,7.64,42.28,1008.46,84.29,484.78
234,25.67,74.78,1010.24,68.87,440.48
235,23.1,51.3,1011.93,80.05,452.17
236,27.13,69.45,1013.9,51.16,434.47
237,26.95,70.8,1009.73,82.95,436.8
238,19.4,42.44,1013.19,58.63,459.76
239,13.5,44.92,1023.87,87.17,468.85
240,11.97,41.04,1026.42,70.75,468.81
241,18.11,58.95,1016.61,89.17,454.29
242,24.1,71.29,1007.96,67.56,442.8
243,20.29,65.27,1013.17,74.94,445.52
244,21.82,65.27,1013.86,72.81,447.43
245,29.45,75.6,1018.12,50.68,437.31
246,10.87,38.38,1020.85,69.78,477.03
247,17.36,39.53,1008.28,68.87,456.57
248,24.97,58.95,1017.19,56.24,440.03
249,13.72,45.09,1012.95,87.41,466.24
250,26.49,61.86,1012.55,74.24,440.21
251,8.25,41.26,1020.59,91.84,475.17
252,12.8,44.9,1007.58,66.6,466.95
253,17.08,40.12,1012.17,81.5,457.81
254,31.4,71.06,1008.44,74.77,433.34
255,8.26,44.71,1020.85,68.82,485.19
256,21.22,59.15,1014.68,59.71,450.96
257,26.1,62.91,1012.44,60.91,446.05
258,19.91,51.19,1008.0,90.23,449.23
259,14.56,40.69,1015.48,73.73,469.31
260,10.22,41.74,1022.65,83.58,479.01
261,29.12,67.83,1008.05,46.86,432.46
262,16.97,39.16,1005.7,69.13,458.59
263,26.19,49.3,1003.69,65.88,440.13
264,23.65,66.05,1019.6,78.21,442.9
265,29.53,70.94,1007.22,70.68,432.43
266,19.69,56.65,1020.84,72.14,455.07
267,33.71,69.98,1013.09,42.62,431.99
268,32.14,75.08,1005.35,49.92,439.22
269,29.28,77.17,1009.4,76.3,433.14
270,7.01,37.8,1021.47,62.84,483.95
271,30.47,68.24,1009.55,64.98,427.94
272,29.13,47.93,1002.5,49.1,435.61
273,11.86,39.85,1013.0,66.92,478.29
274,26.16,52.36,1013.62,58.52,453.08
275,10.56,39.13,1010.19,87.12,463.14
276,8.58,40.72,1022.04,87.55,480.96
277,14.26,40.92,1022.07,73.96,460.38
278,23.48,73.67,1007.07,88.49,437.19
279,5.54,45.87,1008.69,95.91,478.02
280,16.98,43.99,1021.65,81.17,456.07
281,30.08,67.25,1017.6,53.09,434.01
282,10.63,39.61,1020.0,72.42,476.99
283,30.36,74.87,1008.96,61.87,435.31
284,29.56,70.4,1006.49,82.95,432.85
285,19.94,56.53,1020.48,76.43,453.8
286,27.55,64.96,999.73,57.34,431.33
287,31.44,79.74,1006.95,56.99,431.69
288,25.35,74.33,1015.29,77.84,435.66
289,4.11,38.44,1015.9,81.79,488.05
290,30.59,70.04,1010.28,50.56,429.13
291,14.04,48.79,1017.62,75.25,464.09
292,15.47,44.9,1021.59,81.74,465.61
293,8.67,40.77,1011.81,89.4,479.23
294,10.53,37.5,1008.55,99.91,472.32
295,7.99,41.38,1021.95,78.77,487.57
296,22.29,45.01,1012.4,51.58,449.08
297,9.06,36.3,1015.14,58.71,477.38
298,10.05,37.14,1012.64,75.97,474.16
299,20.07,49.21,1012.34,56.8,454.25
300,30.65,71.98,1004.92,63.39,429.85
301,14.38,40.73,1017.48,90.64,462.98
302,27.76,71.97,1008.53,86.97,434.04
303,16.7,40.56,1019.04,50.9,470.84
304,5.35,35.57,1027.12,80.81,488.65
305,11.57,41.38,1021.71,61.49,473.94
306,30.57,73.03,1013.75,73.68,437.42
307,16.0,40.66,1016.12,89.23,457.12
308,15.6,41.04,1025.48,64.43,457.49
309,22.12,47.93,1005.5,84.47,443.41
310,21.33,58.46,1016.17,79.73,445.27
311,23.65,59.92,1010.19,89.53,436.74
312,6.8,39.37,1020.24,73.29,487.33
313,31.35,71.32,1005.99,62.35,434.43
314,23.99,68.12,1012.92,70.68,437.14
315,26.53,54.2,1012.9,66.73,439.96
316,31.59,62.7,1009.3,50.16,442.58
317,24.06,69.94,1005.47,60.46,436.88
318,27.28,44.89,1009.02,49.9,441.94
319,23.69,71.97,1009.62,93.03,438.62
320,11.46,39.1,1010.17,100.15,470.55
321,22.61,49.3,1003.51,83.02,441.76
322,21.84,45.09,1013.94,46.11,450.88
323,9.2,39.82,1013.19,91.25,482.89
324,17.75,49.25,1020.86,63.67,454.41
325,7.53,43.65,1018.58,64.85,479.15
326,16.76,45.09,1014.28,57.71,458.67
327,22.69,65.12,1016.35,72.02,446.91
328,11.91,44.45,1021.39,84.49,466.52
329,26.63,61.47,1008.18,69.0,444.16
330,6.72,39.85,1011.84,84.66,489.09
331,9.44,43.99,1020.31,98.06,475.01
332,18.32,45.0,1022.67,46.38,471.43
333,18.31,62.1,1020.38,79.02,455.24
334,26.57,44.57,1007.76,50.39,445.49
335,34.33,69.05,1000.89,37.9,430.56
336,14.85,40.8,1025.38,53.29,471.78
337,29.33,64.84,1010.76,53.32,443.15
338,8.77,40.46,1019.68,77.84,475.0
339,11.35,38.91,1017.93,83.45,474.22
340,21.38,44.05,1005.69,81.66,445.71
341,4.88,40.27,1012.66,74.51,491.29
342,26.66,64.27,1012.83,58.88,437.87
343,13.04,45.09,1013.0,87.68,467.44
344,29.47,71.32,1008.07,67.0,437.14
345,18.91,56.9,1006.98,84.07,448.24
346,24.86,44.05,1005.69,66.65,447.2
347,9.42,41.4,1029.6,87.43,478.12
348,12.75,42.34,1018.17,94.67,465.44
349,21.32,49.02,1008.81,85.81,445.65
350,24.26,67.69,1008.48,66.74,437.4
351,20.01,43.77,1012.13,65.53,455.66
352,21.35,59.04,1012.28,95.71,445.83
353,17.43,63.09,1019.87,92.77,449.36
354,27.86,65.18,1012.87,55.53,436.26
355,20.74,59.8,1015.46,76.39,452.99
356,27.73,67.69,1007.47,59.42,431.72
357,9.53,41.44,1018.01,80.09,481.83
358,28.5,79.74,1006.75,87.09,433.08
359,21.39,52.3,1009.2,79.77,446.87
360,14.54,46.18,1015.29,94.48,463.03
361,28.01,65.34,1014.68,46.86,440.77
362,30.51,70.94,1007.64,59.42,430.91
363,21.63,60.84,1018.16,77.53,445.93
364,26.39,71.25,999.8,89.12,430.34
365,13.84,41.26,1020.92,74.74,462.46
366,17.27,43.52,1021.37,76.73,460.08
367,21.89,58.05,1011.31,85.71,441.76
368,24.02,64.63,1020.49,55.17,449.66
369,31.92,75.33,1001.81,61.97,436.38
370,12.97,49.83,1008.69,91.49,452.07
371,15.89,43.96,1014.02,75.24,467.35
372,9.25,41.26,1020.51,91.21,473.87
373,15.99,43.5,1021.34,73.22,460.7
374,9.06,39.66,1019.64,76.98,479.53
375,14.48,44.06,1018.73,75.88,467.46
376,27.15,59.21,1013.49,51.71,440.27
377,21.68,64.15,1021.09,70.88,454.32
378,28.16,61.47,1009.19,62.53,442.48
379,34.33,74.34,1001.74,42.75,435.76
380,31.98,64.05,1010.49,58.01,439.56
381,15.21,43.56,1012.92,56.61,467.0
382,13.56,42.34,1017.95,93.83,462.6
383,10.32,42.02,998.27,99.12,472.16
384,22.46,58.49,1011.5,70.54,448.46
385,29.3,68.08,1011.23,56.23,434.11
386,22.3,44.57,1008.48,67.58,449.74
387,21.91,70.32,1009.17,90.57,439.29
388,10.95,43.8,1022.61,63.46,473.2
389,24.96,68.12,1011.27,70.22,437.62
390,5.91,39.33,1010.18,95.53,491.49
391,5.25,40.07,1019.48,67.7,495.23
392,21.47,60.93,1006.46,87.83,442.75
393,10.16,39.3,1019.71,81.21,480.74
394,17.29,44.06,1016.24,77.56,461.38
395,17.46,40.22,1006.7,91.96,461.74
396,11.56,40.43,1025.48,74.75,489.54
397,7.51,41.01,1024.61,97.41,477.61
398,17.08,38.58,1015.41,73.42,461.49
399,9.27,42.02,1004.29,95.05,474.93
400,21.3,48.92,1010.92,65.09,447.89
401,8.51,40.81,1015.54,83.16,481.02
402,12.77,41.5,1014.13,86.8,470.68
403,25.04,65.48,1017.66,57.08,440.92
404,21.83,41.1,1001.91,41.79,453.38
405,15.92,41.79,1006.24,79.42,458.68
406,29.97,69.14,1007.92,66.74,433.82
407,9.8,41.82,1032.98,67.55,473.72
408,9.01,38.56,1016.67,63.61,482.37
409,24.71,61.9,1013.78,85.82,443.39
410,20.57,63.78,1016.76,74.0,449.93
411,24.32,65.48,1017.55,59.02,443.31
412,21.41,50.32,1008.61,84.47,443.63
413,27.09,59.15,1013.02,55.18,438.9
414,23.49,47.45,1008.46,66.18,446.72
415,20.0,63.31,1017.06,63.1,449.68
416,13.4,41.58,1020.5,71.17,461.54
417,23.6,60.08,1017.51,63.02,451.97
418,21.03,70.02,1010.21,95.69,444.53
419,5.15,45.87,1008.02,98.36,479.61
420,17.16,58.86,1016.4,86.39,453.76
421,24.59,71.94,1006.89,88.52,430.28
422,23.05,65.94,1010.99,69.73,442.39
423,10.48,37.5,1009.81,95.26,474.57
424,15.72,43.02,1011.98,45.74,466.33
425,25.56,70.32,1009.07,90.63,433.72
426,13.78,41.16,1021.65,75.77,460.44
427,29.35,69.04,1008.55,61.78,445.04
428,32.09,79.74,1006.92,61.5,432.85
429,25.16,77.3,1000.73,86.4,439.37
430,14.63,40.0,1018.03,63.4,457.09
431,5.7,40.35,1012.18,91.57,488.8
432,28.15,74.9,1003.67,76.32,433.63
433,22.3,57.19,1006.4,75.28,445.1
434,27.71,72.99,1007.18,72.68,433.01
435,23.09,45.01,1012.25,43.95,453.45
436,19.66,42.18,1001.51,95.75,454.46
437,10.02,52.75,1021.93,73.68,473.09
438,23.97,68.67,1006.63,76.83,441.53
439,7.82,38.91,1015.58,90.11,479.15
440,30.21,69.4,1003.69,62.89,438.18
441,24.12,62.44,1013.83,88.02,443.3
442,21.05,63.09,1016.49,91.23,447.45
443,13.93,40.24,1017.88,88.35,469.25
444,9.68,41.06,1022.75,87.44,476.67
445,17.48,49.39,1021.51,84.53,460.01
446,28.76,66.56,1006.07,62.41,432.3
447,19.21,53.16,1013.18,81.64,454.01
448,25.63,72.99,1008.2,86.8,436.64
449,20.36,66.05,1015.86,87.19,450.23
450,15.34,40.73,1018.03,86.19,458.55
451,9.55,40.72,1023.12,68.06,481.08
452,13.45,41.16,1022.04,82.96,460.57
453,10.8,39.58,1011.99,87.54,478.24
454,28.15,72.99,1007.62,70.03,431.83
455,15.42,40.56,1021.23,59.37,469.33
456,33.6,74.33,1012.31,35.66,428.62
457,30.92,78.05,1011.0,59.62,434.12
458,25.24,57.17,1010.44,74.0,442.77
459,13.6,41.2,1015.92,85.05,467.42
460,18.68,46.0,1002.2,97.17,447.8
461,22.43,69.84,1006.94,75.54,436.19
462,23.37,70.94,1008.01,81.28,441.56
463,19.62,43.56,1012.89,37.6,463.33
464,14.35,39.39,1012.92,82.41,470.53
465,24.88,63.91,1009.41,77.75,447.28
466,20.67,63.56,1013.27,79.39,450.7
467,34.11,73.56,1006.77,45.92,432.78
468,19.15,44.89,1009.6,74.52,451.09
469,24.96,70.47,1007.73,76.48,438.23
470,18.86,42.18,1001.16,98.58,457.07
471,25.1,60.37,1005.83,72.53,438.44
472,10.15,43.41,1018.4,82.07,473.43
473,26.53,65.18,1012.77,64.37,437.39
474,26.05,46.21,1011.31,55.25,450.86
475,25.45,74.33,1015.53,80.95,435.12
476,8.14,39.96,1023.41,88.86,477.05
477,31.95,67.17,1007.11,61.58,432.6
478,30.8,73.56,1007.39,75.78,432.43
479,7.69,43.02,1014.51,85.23,486.46
480,15.3,43.67,1011.75,95.31,468.14
481,27.12,70.32,1009.94,52.67,429.08
482,25.76,74.87,1010.18,65.15,443.7
483,10.28,39.64,1010.45,74.15,477.65
484,30.91,79.74,1006.92,56.32,433.84
485,24.22,61.86,1013.39,80.11,442.65
486,5.67,45.87,1008.91,93.29,478.44
487,22.96,68.61,1011.15,76.62,447.18
488,24.54,65.46,1014.27,40.77,446.26
489,11.32,36.18,1015.03,64.68,472.67
490,15.15,53.82,1016.34,62.59,461.6
491,23.53,50.05,1005.63,78.4,443.71
492,29.08,66.54,1004.67,64.5,430.16
493,20.42,60.77,1017.65,87.07,447.85
494,26.32,69.71,1009.39,67.05,441.25
495,21.89,74.93,1016.11,77.88,448.47
496,9.68,41.48,1018.24,71.04,473.31
497,16.73,54.3,1017.96,59.44,460.54
498,7.8,39.04,1018.46,66.5,482.31
499,23.29,65.61,1014.81,70.27,447.67
500,28.93,72.99,1007.23,64.41,434.45
501,16.75,42.23,1013.81,84.98,464.87
502,21.47,58.79,1017.0,76.97,446.33
503,25.98,68.12,1011.36,66.86,439.0
504,16.34,36.99,1006.99,90.06,466.24
505,25.23,69.34,1009.51,82.87,445.92
506,12.41,41.44,1015.46,76.9,472.06
507,24.2,60.77,1016.92,71.65,439.13
508,7.51,41.66,1015.9,78.31,485.58
509,31.53,70.94,1007.11,50.04,431.84
510,17.42,44.06,1016.63,82.15,456.57
511,6.92,39.61,1018.64,82.27,483.83
512,8.34,40.72,1023.62,83.75,483.14
513,32.07,67.83,1007.91,41.61,429.31
514,27.18,64.79,1016.27,63.7,443.87
515,9.24,41.4,1030.72,87.36,476.9
516,13.48,46.18,1018.15,88.38,464.58
517,22.74,61.02,1009.56,79.41,445.56
518,28.62,68.24,1010.15,69.31,428.08
519,25.11,62.26,1011.12,78.01,434.97
520,11.47,43.67,1012.68,72.51,475.72
521,29.51,75.6,1017.92,50.61,431.18
522,15.24,39.39,1013.01,74.24,469.79
523,22.71,75.23,1010.48,76.86,444.0
524,13.98,39.18,1009.61,89.12,467.97
525,17.89,40.12,1011.99,76.52,451.79
526,12.81,44.58,1016.49,80.76,475.5
527,15.54,41.96,1011.78,97.46,467.1
528,20.21,54.9,1016.82,66.56,454.23
529,6.17,36.25,1028.68,90.59,483.77
530,26.42,59.54,1007.02,76.28,438.5
531,14.6,44.47,1028.46,69.96,465.24
532,29.53,72.39,998.47,76.05,431.69
533,12.95,43.71,1025.63,90.7,469.15
534,13.26,40.83,1007.97,90.63,472.14
535,23.48,60.23,1011.91,79.48,437.44
536,10.16,41.55,1005.69,58.04,477.27
537,29.13,66.56,1006.63,52.85,439.31
538,10.8,41.74,1020.24,78.62,479.32
539,25.21,75.6,1017.19,69.84,445.84
540,20.72,44.57,1008.96,72.57,449.76
541,26.17,59.92,1010.01,73.75,444.96
542,17.48,44.2,1018.89,61.51,457.15
543,29.67,73.67,1006.48,64.98,429.28
544,26.38,71.73,1010.04,69.45,431.66
545,12.08,41.39,1019.45,78.3,477.8
546,25.3,70.98,1007.22,95.1,440.86
547,16.55,39.64,1009.07,77.8,465.29
548,13.18,43.8,1023.18,61.21,467.0
549,21.34,51.61,1010.11,80.7,452.0
550,20.06,44.9,1008.79,70.06,448.51
551,8.26,39.42,1025.89,70.53,474.72
552,8.51,38.5,1013.33,64.28,482.39
553,8.83,36.25,1028.86,85.6,478.45
554,14.52,44.84,1023.51,88.51,466.88
555,7.87,43.02,1014.67,83.58,485.61
556,7.14,44.71,1019.98,71.9,487.71
557,7.49,36.08,1020.27,85.69,483.26
558,11.01,40.22,1011.13,83.09,476.69
559,20.74,58.2,1017.54,70.66,450.4
560,30.98,67.48,1009.96,58.92,439.39
561,26.67,70.94,1007.7,56.56,439.13
562,28.24,71.58,1010.1,67.92,434.01
563,11.98,39.35,1014.97,98.05,472.43
564,30.91,69.75,1010.23,59.36,435.7
565,23.23,63.31,1012.52,75.1,441.5
566,30.13,78.05,1010.99,61.5,434.14
567,20.79,65.59,1014.9,77.0,450.3
568,14.38,45.09,1012.95,86.1,464.27
569,10.07,40.46,1018.65,69.2,470.99
570,10.48,41.38,1021.97,65.22,481.41
571,6.86,41.17,1020.12,79.14,490.23
572,13.25,41.62,1010.8,77.81,457.64
573,26.92,51.43,1012.29,59.33,437.35
574,12.76,40.27,1006.58,49.34,474.03
575,30.2,73.67,1006.31,62.14,428.72
576,10.72,41.38,1021.6,63.77,478.29
577,17.39,46.21,1013.94,82.73,454.06
578,30.97,67.69,1005.61,50.88,425.35
579,28.16,71.94,1007.69,68.17,430.46
580,28.84,73.03,1013.99,76.05,435.75
581,24.48,64.45,1014.69,51.43,452.82
582,11.23,39.72,1018.46,60.62,475.04
583,13.52,42.07,1017.91,90.21,464.07
584,16.61,45.87,1009.34,97.93,455.86
585,20.96,61.27,1019.99,67.32,448.77
586,32.15,69.98,1013.3,55.13,429.86
587,21.24,44.57,1008.72,72.57,447.03
588,26.49,78.92,1010.82,83.42,434.91
589,24.01,65.46,1014.17,43.02,443.81
590,33.15,70.4,1003.72,53.98,430.15
591,20.13,40.33,1005.31,85.42,460.09
592,21.41,62.39,1007.84,88.83,452.8
593,31.35,70.8,1010.11,66.37,432.19
594,27.44,58.9,1003.86,66.74,442.19
595,25.21,51.43,1006.43,78.55,439.01
596,32.06,75.33,1001.96,63.15,432.92
597,25.04,51.95,1005.56,66.53,449.45
598,13.31,40.1,1014.81,82.11,468.74
599,29.68,64.33,1011.2,57.73,441.79
600,13.46,44.71,1014.51,50.0,474.6
601,18.77,49.39,1021.06,82.95,454.53
602,13.56,39.18,1023.4,63.82,470.38
603,20.65,66.51,1014.94,71.83,456.49
604,26.5,66.05,1017.03,61.34,440.15
605,23.67,72.24,1011.22,90.45,435.94
606,8.64,41.66,1014.14,80.44,481.89
